Branch,ParentItem2nd,CompItem2nd,CompBulk,CompGlobalBulk,CompItem2ndIM,CompBulkIM,CompBranch,TypeBOM,EffFrom,EffThru,Qty,QtyBatch,CompLineNum,RevLevel,UOM,IsCurrent,DWSource,CompIBSKey,ParentIBSKey
CIN2,MC40EAF,161190PX-T2,161190PX,161190PX,161190PX-T2,161190PX,CIN2,M,2018-11-29T00:00:00,2040-12-31T00:00:00,62.1,0.0,0.0,,LB,0,1,22502,8916
CIN2,NM73R3X,161190PX-T2,161190PX,161190PX,161190PX-T2,161190PX,CIN2,M,2021-01-22T00:00:00,2040-12-31T00:00:00,24.38,0.0,0.0,,LB,0,1,22502,20554
CIN2,NM73,161190PX-T2,161190PX,161190PX,161190PX-T2,161190PX,CIN2,M,2018-07-16T00:00:00,2040-12-31T00:00:00,24.8,0.0,0.0,,LB,0,1,22502,20339
CIN2,HP1432AT-PL,HP1432AT,HP1432AT,HP1432AT,HP1432AT,HP1432AT,CIN2,M,2012-08-01T00:00:00,2040-12-31T00:00:00,4000.0,0.0,0.0,,LB,0,1,19977,19981
CIN2,UTS630,HP1432AT,HP1432AT,HP1432AT,HP1432AT,HP1432AT,CIN2,M,2025-03-03T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,19977,22788
CIN2,U501,U501-OP,U501,U501,U501-OP,U501,CIN2,M,2020-11-16T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,18413,18223
CIN2,U2023,U2023-OP,U2023,U2023,U2023-OP,U2023,CIN2,M,2022-10-11T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,21168,20990
CIN2,U601-PL,U601,U601,U601,U601,U601,CIN2,M,2008-10-16T00:00:00,2040-12-31T00:00:00,4000.0,0.0,0.0,,LB,0,1,18224,18439
CIN2,JS037,U601,U601,U601,U601,U601,CIN2,M,2019-10-15T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,18224,21718
CIN2,191245PX,191245PX-T2,191245PX,191245PX,191245PX-T2,191245PX,CIN2,M,2022-07-08T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,21739,21730
