MatchType,DocType,OrdType,OrderCo,OrderNum,DocNum,LineNum,TxnDate,RecvDate,GLDate,SupplierNum,SupplierName,Item2nd,Bulk,GlobalBulk,Qty,QtyLB,QtyKG,Amt,USD,EUR
1,OV,OP,00010,131463,211306,1.0,2021-08-06T00:00:00,2021-08-06T00:00:00,2021-08-06T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,46094.4,46094.4,39197.0829
1,OV,OP,00010,133317,216966,1.0,2021-11-04T00:00:00,2021-11-04T00:00:00,2021-11-04T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,48435.2,48435.2,41957.641
1,OV,OP,00010,133317,216968,1.0,2021-11-04T00:00:00,2021-11-04T00:00:00,2021-11-04T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,48435.2,48435.2,41957.641
1,OV,OP,00010,133318,218181,1.0,2021-11-23T00:00:00,2021-11-23T00:00:00,2021-11-23T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,48188.8,48188.8,42783.9972
1,OV,OP,00010,133318,218183,1.0,2021-11-23T00:00:00,2021-11-23T00:00:00,2021-11-23T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,48188.8,48188.8,42783.9972
1,OV,OP,00010,133318,218209,1.0,2021-11-23T00:00:00,2021-11-23T00:00:00,2021-11-23T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,48188.8,48188.8,42783.9972
1,OV,OP,00010,137665,223620,1.0,2022-02-24T00:00:00,2022-02-24T00:00:00,2022-02-24T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,56865.6,56865.6,51005.4748
1,OV,OP,00010,137665,223626,1.0,2022-02-24T00:00:00,2022-02-24T00:00:00,2022-02-24T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,56865.6,56865.6,51005.4748
1,OV,OP,00010,137665,223733,1.0,2022-02-25T00:00:00,2022-02-25T00:00:00,2022-02-25T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,56865.6,56865.6,50509.1348
1,OV,OP,00010,145725,241900,1.0,2023-02-07T00:00:00,2023-02-07T00:00:00,2023-02-07T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,60878.4,60878.4,56859.3602
4,OV,OP,00010,118976,182473,1.0,2020-01-30T00:00:00,2020-01-30T00:00:00,2020-01-30T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,43243.2,43243.2,39224.0602
4,OV,OP,00010,122734,191093,1.0,2020-08-11T00:00:00,2020-08-04T00:00:00,2020-08-11T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,43260.8,43260.8,36768.6474
4,OV,OP,00010,123278,193621,1.0,2020-10-07T00:00:00,2020-10-07T00:00:00,2020-10-07T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,36079.6485
4,OV,OP,00010,137665,223613,1.0,2022-02-24T00:00:00,2022-02-24T00:00:00,2022-02-24T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,56865.6,56865.6,51005.4748
4,OV,OP,00010,137665,223618,1.0,2022-02-24T00:00:00,2022-02-24T00:00:00,2022-02-24T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,56865.6,56865.6,51005.4748
4,OV,OP,00010,137665,223624,1.0,2022-02-24T00:00:00,2022-02-24T00:00:00,2022-02-24T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,56865.6,56865.6,51005.4748
4,OV,OP,00010,137665,223618,1.0,2022-02-24T00:00:00,2022-02-24T00:00:00,2022-02-24T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,56865.6,56865.6,51005.4748
1,OV,OP,00010,145725,241901,1.0,2023-02-07T00:00:00,2023-02-07T00:00:00,2023-02-07T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,1337.6,1337.6,1249.295
